Date/Time Start (UTC),Date/Time Connect (UTC),Date/Time End (UTC),Source,CLI,Destination,Duration,Billing Duration,Disconnect Code,Disconnect Reason,Rate,Charged,CDR Type,Country Name,Network Name,Trunk Name
"2023-09-29 19:05:00","2023-09-29 19:05:09","2023-09-29 19:05:36","15137902422","15137902422","13253702911","28","28","200","Bye","0.0062","0.0029","Local","United States","UNITED STATES TEXAS","Audiocodes Azure"
"2023-09-29 14:19:20","2023-09-29 14:19:42","2023-09-29 14:20:52","33353329835","33353329835","33685209455","70","70","200","Bye","0.03","0.035","Local","France","FRANCE MOBILE ORANGE","Audiocodes Azure"
"2023-09-29 14:12:12","2023-09-29 14:12:14","2023-09-29 14:15:59","33353329835","33353329835","33299452835","225","225","200","Bye","0.01","0.0375","Local","France","FRANCE LANDLINE","Audiocodes Azure"
"2023-09-29 13:30:22","2023-09-29 13:30:28","2023-09-29 13:32:58","15139734058","15139734058","19565320404","151","151","200","Bye","0.0062","0.0157","Local","United States","UNITED STATES TEXAS","Audiocodes Azure"
"2023-09-29 13:26:29",,"2023-09-29 13:26:30","33353329832","33353329832","310634535748","0",,"404","Not Found","0.011","0","Origin based","Netherlands","NETHERLANDS LANDLINE","Audiocodes Azure"
"2023-09-29 13:25:28","2023-09-29 13:25:51","2023-09-29 13:25:56","33353329832","33353329832","33634535748","5","5","200","Bye","0.03","0.0025","Local","France","FRANCE MOBILE ORANGE","Audiocodes Azure"
"2023-09-29 13:24:24",,"2023-09-29 13:24:26","33353329832","33353329832","310634535748","0",,"404","Not Found","0.011","0","Origin based","Netherlands","NETHERLANDS LANDLINE","Audiocodes Azure"
"2023-09-29 13:10:10","2023-09-29 13:10:30","2023-09-29 13:11:07","33353329832","33353329832","201004999856","38","38","200","Bye","0.1514","0.0959","International","Egypt","EGYPT VODAFONE MOBILE","Audiocodes Azure"
"2023-09-29 13:09:58",,"2023-09-29 13:10:08","33353329832","33353329832","201004999856","0",,"487","Request terminated (Cancel)","0.1514","0","International","Egypt","EGYPT VODAFONE MOBILE","Audiocodes Azure"
"2023-09-29 13:09:16",,"2023-09-29 13:09:23","33353329832","33353329832","33227684300","0",,"500","Server Internal Error","0.01","0","Local","France","FRANCE LANDLINE","Audiocodes Azure"
